year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2024,Australia,boy,Oliver,,1,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,Noah,,2,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,Theodore,,3,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,Henry,,4,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,Luca,,5,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,Leo,,6,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,Hudson,,7,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,Charlie,,8,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,Jack,,9,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,boy,William,,10,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Charlotte,,1,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Amelia,,2,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Olivia,,3,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Isla,,4,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Mia,,5,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Ava,,6,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Matilda,,7,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Harper,,8,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Lily,,9,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
2024,Australia,girl,Ella,,10,https://7news.com.au/lifestyle/australias-most-popular-baby-names-revealed-c-18219780,Australia 2024 national report via 7News/McCrindle,national report / rank only
