year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2010,Australia,girl,Ruby,,1,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Charlotte,,2,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Ava,,3,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Lily,,4,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Mia,,5,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Olivia,,6,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Chloe,,7,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Emily,,8,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Isabella,,9,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Ella,,10,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Sophie,,11,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Amelia,,12,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Zoe,,13,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Sienna,,14,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Grace,,15,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Emma,,16,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Hannah,,17,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Matilda,,18,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Lucy,,19,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Georgia,,20,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Scarlett,,21,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Isabelle,,22,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Eva,,23,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Isla,,24,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Madison,,25,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Bella,,26,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Abigail,,27,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Alexis,,28,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Holly,,29,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
2010,Australia,girl,Sophia,,30,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2010,BabyCenter Australia top baby names 2010,Australia-wide BabyCenter ranking / rank only / legacy top 100
