year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2025,NT,boy,Noah,16,1,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available
2025,NT,boy,Elijah,12,2,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available
2025,NT,boy,Oliver,11,3,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available
2025,NT,boy,Muhammad,11,3,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available / tied rank
2025,NT,boy,Archie,10,5,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available
2025,NT,boy,Henry,10,5,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available / tied rank
2025,NT,boy,Levi,10,5,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available / tied rank
2025,NT,girl,Amelia,13,1,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available
2025,NT,girl,Ruby,12,2,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available
2025,NT,girl,Matilda,11,3,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available
2025,NT,girl,Hazel,11,3,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available / tied rank
2025,NT,girl,Isla,11,3,https://www.couriermail.com.au/news/noah-and-amelia-are-the-nts-most-popular-baby-names-in-2025-with-noah-claiming-the-crown-in-four-other-states/news-story/4327c7e517f4787bce374403600e2f25,Northern Territory 2025 Attorney-General data via Courier-Mail,count available / tied rank
