year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2024,QLD,girl,Charlotte,319,1,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count available for rank 1
2024,QLD,girl,Isla,,2,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,girl,Olivia,,3,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,girl,Amelia,,4,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,girl,Matilda,,5,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,girl,Harper,,6,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,girl,Mia,,7,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,girl,Hazel,,8,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,girl,Willow,,9,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,girl,Grace,,10,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,Oliver,445,1,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count available for rank 1
2024,QLD,boy,Theodore,,2,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,Noah,,3,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,Henry,,4,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,Hudson,,5,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,Luca,,6,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,Leo,,7,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,William,,8,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,Charlie,,9,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
2024,QLD,boy,Jack,,10,https://www.couriermail.com.au/news/queensland/queenslands-most-popular-baby-names-of-2024/news-story/75670a2db497d249aa5e20bd98a91eb9,Queensland 2024 registry release via Courier-Mail,count unavailable
