year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2023,VIC,girl,Amelia,333,1,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count available for rank 1
2023,VIC,girl,Charlotte,,2,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,girl,Olivia,,3,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,girl,Mia,,4,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,girl,Isla,,5,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,girl,Matilda,,7,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,boy,Oliver,514,1,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count available for rank 1
2023,VIC,boy,Noah,,2,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,boy,Henry,,3,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,boy,Leo,,4,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,boy,Charlie,,5,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,count unavailable
2023,VIC,boy,James,,18,https://www.theguardian.com/australia-news/2024/jan/26/australia-most-popular-baby-names-victoria-amelia-oliver,Victoria 2023 registry release via Guardian,entered top 20 / exact rank inferred from article wording unavailable if official table differs
