name,gender,source_name,source_url,source_title,source_extract
Aaron,boy,Wikipedia - Aaron (given name),https://en.wikipedia.org/wiki/Aaron_%28given_name%29,Aaron (given name),"Aaron is an English masculine given name. The 'h' phoneme in the original Hebrew pronunciation ""Aharon"" (אהרן) is dropped in the Greek, Ἀαρών, from which the English form, Aaron, is derived.
Aaron, the brother of Moses, is described in the Torah, the Quran and the Baha'i Iqan.
The origin of the biblical name is uncertain; however, an Ancient Egyptian origin may indicate ""aha rw"" meaning ""warrior lion"",
𓊢𓃭
or from Aaru (meaning ""reeds""), the Egyptian heaven ruled by Osiris.
𓇋𓄿𓂋𓅱𓆰𓆰𓆰
According to other different theories, the name could be derived from various Hebrew roots meaning ""high mountain"", ""mountain of strength"", ""exalted"", ""enlightened"", or ""bearer of martyrs"". The name Aharon may itself be a variant of Haran, the name given to the older brother of Abraham in the book of Genesis.
The given name was used by Jews and early Christians, then became exclusively Jewish in the Middle Ages, taken up by Gentiles in the 17th century, and popular among both in the end of the 20th century. Aaron was most popular in the United States in 1994 peaking as the 28th most popular name. Aaron is also a Jewish surname. St. Aaron's day is on July 1 and is celebrated in French speaking countries and Poland. The name is generally recognisable around the world as referring to the biblical Aaron and cognate forms in other languages include Aarón in Spanish; Aarão in Portuguese; Aron in Danish, Norwegian, Swedish and Croatian; Árón in Czech and Irish; ""ܐܲܗܪܘܿܢ""  (Ahron); and Harun (هارون) in Arabic. The variant used in the Russian language is ""Ааро́н"" (Aaron), with ""Аро́н"" (Aron) being its colloquial form; diminutives include ""Ааро́нка"" (Aaronka), ""Аро́нка"" (Aronka), and ""Ро́на"" (Rona). The patronymics derived from this first name in Russian are ""Ааро́нович"" (Aaronovich; masculine) and its colloquial form ""Ааро́ныч"" (Aaronych), and ""Ааро́новна"" (Aaronovna; feminine).
Y-chromosomal Aaron is the name given to the hypothesised most recent common ancestor of many Kohanim.
""Aaronite"" is a noun referring to the biblical tradition and modern genetic line of Kohanim claiming descent from the biblical Aaron. ""Aaronic"" is an adjective referring to their traditional priestly attributes such as attention to detail, respect for tradition, and religious dogmatising. For example, biblical texts focussed on rules and traditions such as Leviticus are considered aaronic."
Adam,boy,Wikipedia - Adam (given name),https://en.wikipedia.org/wiki/Adam_%28given_name%29,Adam (given name),"Adam is a common masculine given name in the English language, of Hebrew origin.
The name derives from Adam (Hebrew: אָדָם), the first human according to the Hebrew Bible. When used as noun, אָדָם means ""man"" or ""humanity"". Its Biblical and Quranic uses have ensured that it is a common name in countries which draw on these traditions, and it is particularly common in Christian and Muslim majority countries. In most languages, its spelling is the same, although the pronunciation varies. Adán and Adão are the Spanish and Portuguese forms, respectively.
Adam is also a surname in many countries, although it is not as common in English as its derivative Adams (sometimes spelt Addams). In other languages, there are similar surnames derived from Adam, such as Adamo, Adamov, Adamowicz, Adamski, McAdam, etc.
In Arabic, Adam (آدم) means ""made from earth's mud""."
Aidan,boy,Wikipedia - Aidan,https://en.wikipedia.org/wiki/Aidan,Aidan,"Aidan, Aiden and Ayden are anglicised versions of the Irish male given name Aodhán. The Irish language female equivalent is Aodhnait."
Aiden,boy,Wikipedia - Aidan,https://en.wikipedia.org/wiki/Aidan,Aidan,"Aidan, Aiden and Ayden are anglicised versions of the Irish male given name Aodhán. The Irish language female equivalent is Aodhnait."
Alex,boy,Wikipedia - Alex,https://en.wikipedia.org/wiki/Alex,Alex,"Alex is a unisex name, employed either as a hypocoristic or a standalone given name, derived from the Greek element ἀλέξειν (aléxein), meaning ""to defend"" or ""to protect."" Universally recognized as a diminutive for Alexander and Alexandra, Alex has, in contemporary usage, established itself as an independent given name for both males and females. Additionally, it is associated with Alexis."
Alexander,boy,Wikipedia - Alexander,https://en.wikipedia.org/wiki/Alexander,Alexander,"Alexander (Greek: Ἀλέξανδρος) is a masculine name of Greek origin. The most prominent bearer of the name is Alexander the Great, the king of the Ancient Greek kingdom of Macedonia who created one of the largest empires in ancient history.
Variants listed here are Aleksandar, Aleksander, Oleksandr, Oleksander, Aleksandr, and Alekzandr. Related names and diminutives include Iskandar, Alec, Alek, Alex, Alexsander, Alexandre, Aleks, Aleksa, Aleksandre, Alejandro, Alessandro, Alasdair, Sasha, Sandy, Sandro, Sikandar, Skander, Sander and Xander; feminine forms include Alexandra, Alexandria, and Sasha."
Alfie,boy,Wikipedia - Alfie (name),https://en.wikipedia.org/wiki/Alfie_%28name%29,Alfie (name),"Alfie is a given name, surname, and nickname for the given names Alfonso and Alfred. Alfie may refer to:"
Ali,boy,Wikipedia - Ali (name),https://en.wikipedia.org/wiki/Ali_%28name%29,Ali (name),Ali is a common unisex given name and surname of multiple origins.
Andrew,boy,Wikipedia - Andrew,https://en.wikipedia.org/wiki/Andrew,Andrew,"Andrew is the English form from the Old French name Andreu / Andrieu (now French surnames), themselves from Latin Andreas, from Greek-derived given name Andreas (Greek: Ἀνδρέας). It is related to Ancient Greek: ἀνήρ/ἀνδρός aner/andros, ""man"" (as opposed to ""woman""), thus meaning ""manly"" and, as consequence, ""brave"", ""strong"", ""courageous"", and ""warrior""."
Angus,boy,Wikipedia - Angus (given name),https://en.wikipedia.org/wiki/Angus_%28given_name%29,Angus (given name),"Angus is an English language masculine given name. It is an Anglicised form of the Irish and Scottish Gaelic name Aonghas (also spelt Aonghus), which is composed of Celtic elements meaning ""one"" and ""choice"". Short forms of the name include Gus, which may be lengthened to Gussie, and Irish Naos. Angie ( ANG-ghee; Scottish Gaelic: Angaidh) is a common pet form of the name. The feminine form of Angus is Angusina.
The earliest form of the given name Angus, and its cognates, occurs in Adomnán's Vita Columbae (English: ""Life of Columba"") as Oinogusius, Oinogussius. This name likely refers to a Pictish king whose name is recorded variously as Onnust, Hungus.
According to historian Alex Woolf, the early Gaelic form of the name, Oengus, was borrowed from the Pictish Onuist, which appears in Brythonic as Ungust. Woolf noted that these names are all derived from the Celtic *Oinogustos. Linguist John Kneen derived this name from two Celtic elements the following way: *Oino-gustos, meaning ""one-choice"". Woolf also stated that between about AD 350 and AD 660, the Insular Celtic dialects underwent changes which included the loss of the final syllables and unstressed vowels, which affected *Oinogustos thus: *Oinogustos."
